distance,dq
11.07670,0.00457
8.64304,-0.00217
8.90915,-0.00217
7.44088,-0.00217
5.99559,-0.00217
8.69527,0.00457
7.01915,0.00457
7.48812,0.00457
5.02039,0.01311
2.96981,0.03403
2.96695,0.03403
5.00983,0.01311
-1.00000,0.11733
8.47577,-0.01140
7.99844,-0.00409
7.71960,0.00129
6.96548,0.00804
7.03047,-0.02318
8.45627,0.00804
9.31219,-0.00409
10.34675,0.00129
9.22866,0.00170
9.33572,-0.01140
6.20183,0.03323
6.82797,-0.00654
4.69966,0.00696
4.16695,-0.03343
2.86390,-0.08394
1.91010,0.25994
2.86560,-0.08394
4.16618,-0.03343
0.00000,-0.26091
7.76755,0.00380
9.33196,0.00380
8.92414,0.00380
5.99300,0.00022
7.43058,0.00022
8.64465,0.00022
8.90116,0.00022
9.79697,0.00380
10.05751,0.00380
8.39734,0.00380
5.00850,0.01270
2.96723,0.03371
2.96902,0.03371
5.01943,0.01270
-1.00000,0.11935
5.36898,0.06747
4.18151,-0.02640
2.86556,-0.10342
1.91179,0.24842
2.87057,-0.09025
4.17359,-0.01415
4.69823,-0.00092
6.10958,0.02595
7.08643,-0.00854
7.05341,0.00092
8.47861,-0.00250
9.54435,0.00383
10.82601,-0.00240
11.10319,0.00105
10.27206,-0.00052
8.95920,0.00199
0.00000,-0.23168
6.05598,-0.01515
6.05851,-0.01515
5.24699,-0.01515
2.96038,0.04092
2.98271,0.03210
5.02270,0.00865
6.57732,-0.01185
9.44848,-0.00064
11.69595,0.00043
12.15145,-0.00012
8.39511,-0.00070
-1.00000,0.10781
4.69537,0.00709
4.18340,-0.02627
2.86540,-0.10698
1.91234,0.24863
2.86947,-0.07760
4.17083,-0.02999
5.37475,0.05823
0.00000,-0.23521
6.11386,0.01522
7.24380,-0.00219
7.15385,0.01137
7.23682,-0.00077
8.49442,-0.00077
6.08751,-0.01295
5.26061,-0.01295
6.03656,-0.01295
2.95956,0.04221
2.98144,0.02909
5.02130,0.01257
6.24831,-0.00291
7.43727,-0.00291
8.01451,-0.00291
6.62967,-0.00795
-1.00000,0.11091
4.16836,-0.04189
4.68892,0.04903
4.17256,-0.06790
2.86028,-0.08869
1.90935,0.25410
2.86460,-0.07470
0.00000,-0.25856
5.40292,0.06028
6.35232,-0.00958
5.72616,-0.04158
7.06989,0.01482
8.12619,-0.00196
9.01473,0.00147
5.38564,0.01482
5.19456,-0.00196
5.34234,0.00147
5.01373,0.01273
5.77330,-0.00866
2.95018,0.04307
2.96569,0.03161
7.21704,-0.00157
7.38197,-0.00157
6.35529,-0.00157
4.70065,-0.00157
-1.00000,0.11838
8.62458,-0.00148
9.33917,0.00124
8.84034,-0.00155
7.62905,-0.00003
6.78723,0.00954
7.31525,-0.00111
5.52185,-0.04238
5.41738,0.06363
6.47177,-0.01323
4.17649,-0.06660
4.69014,0.03871
4.17052,-0.03544
2.86696,-0.07973
1.91336,0.25273
2.86265,-0.07999
0.00000,-0.25713
9.20661,0.00016
10.38328,-0.00017
9.57301,0.00045
6.88223,0.00212
4.90485,0.01097
5.77391,-0.00460
