distance,dq
8.22098,0.00216
7.50873,0.00216
8.61689,0.00216
8.01409,-0.00416
3.41438,0.03698
6.07747,-0.00625
5.75076,-0.00625
6.26001,-0.00625
5.83620,-0.00297
7.37159,-0.00297
6.23659,-0.00297
-1.00000,0.15109
4.39628,-0.05946
3.07930,-0.08558
2.14451,0.29668
3.08154,-0.08558
4.39900,-0.05946
4.91374,0.03554
6.30141,0.00676
7.17236,-0.00621
8.51232,-0.00234
9.44242,0.00446
9.33010,-0.00178
8.11663,-0.00073
6.93083,0.00313
8.24550,0.00015
10.72727,-0.00057
0.00000,-0.29541
5.24150,0.01964
3.14839,0.03402
3.14769,0.03402
5.23665,0.01964
8.90347,-0.00029
7.51487,0.00032
9.19777,0.00032
-1.00000,0.14275
4.39664,-0.03620
4.92586,0.02860
4.40055,-0.06655
3.07596,-0.12014
2.14535,0.33258
3.08212,-0.11090
0.00000,-0.30526
5.57186,0.05879
5.38438,-0.02022
7.97585,-0.01259
8.64546,0.00317
8.08618,0.00049
6.71286,-0.00123
8.74273,-0.00015
8.30010,-0.00114
5.23316,0.01509
6.01124,-0.00096
3.13172,0.04985
3.15250,0.03751
8.23568,-0.00067
9.01394,-0.00067
6.62238,0.00845
7.41389,0.00021
6.63364,-0.00274
9.83340,0.00137
-1.00000,0.14329
4.39436,-0.06290
4.92144,0.06344
4.39946,-0.08738
3.07276,-0.09561
2.14477,0.31442
3.08196,-0.09119
0.00000,-0.30606
5.59281,0.03636
6.48537,-0.00352
7.06568,-0.01231
7.33709,0.00631
6.99413,-0.02311
5.96711,0.00527
8.36901,0.00154
8.48222,-0.00123
5.23041,0.01934
6.00810,-0.00740
3.13370,0.04129
3.14914,0.03548
6.79984,0.00721
8.02164,0.00721
5.96478,0.00390
7.63406,0.00090
5.25720,0.00052
9.36177,0.00067
-1.00000,0.14688
4.39348,-0.06348
4.92097,0.06671
4.40014,-0.08883
3.07345,-0.09626
2.14491,0.30982
3.08200,-0.08763
0.00000,-0.29900
5.59338,0.03783
6.48588,-0.00353
7.06675,-0.01521
7.33924,0.00738
6.99517,-0.02456
5.96697,0.00526
8.37001,0.00243
8.48319,-0.00133
5.23058,0.01903
6.00763,-0.00882
3.13466,0.04158
3.14843,0.03358
8.02375,0.00792
6.80194,0.00792
5.96675,0.00458
5.25813,0.00025
7.63502,0.00084
9.36278,0.00059
-1.00000,0.14294
4.39664,-0.03165
4.92645,0.02559
4.40047,-0.06832
3.07596,-0.12549
2.14535,0.33371
3.08212,-0.11172
0.00000,-0.30647
5.57186,0.07224
5.38361,-0.02388
7.97585,-0.01371
8.64528,0.00363
8.08699,-0.00013
6.71286,-0.00307
8.74185,0.00065
8.29816,-0.00157
5.23249,0.01382
6.01137,-0.00077
3.13172,0.05171
3.15293,0.03756
9.01391,-0.00057
8.23569,-0.00057
6.62254,0.00561
6.63378,-0.00277
7.41280,0.00068
9.83260,0.00107
-1.00000,0.14441
6.71329,0.01421
5.51524,0.01229
4.35744,-0.01716
3.13296,-0.15981
2.09496,0.28076
3.35822,-0.02830
4.56058,-0.00798
0.00000,-0.27220
3.54706,0.07267
4.23354,-0.01414
6.88111,-0.00277
6.88114,-0.00277
7.52553,-0.00277
-1.00000,0.12797
6.90282,-0.02821
5.51932,0.01309
5.55754,0.03301
4.51324,-0.07583
4.96497,0.00722
3.16198,0.15792
3.07359,-0.30624
4.41573,0.04159
4.91399,-0.01874
4.39697,0.04682
3.07487,-0.29205
2.12286,0.54257
0.00000,-0.43568
3.14415,0.13536
4.53738,-0.08428
6.94985,0.00703
7.16583,0.00582
7.16617,0.00582
7.68564,0.00582
5.99810,0.00187
5.23917,0.00217
5.11013,0.01764
4.77808,0.01764
5.11048,0.01764
7.56488,-0.00296
7.01835,-0.00296
7.56476,-0.00296
-1.00000,0.19088
8.86747,-0.00355
7.64903,0.00344
7.85416,-0.00803
6.99453,0.01054
5.73082,-0.00574
5.43059,-0.00923
6.50416,0.00809
4.42692,-0.00048
3.43651,0.05804
3.43594,0.00372
3.12987,-0.16520
4.43271,-0.02720
4.93941,0.04495
4.37659,-0.05765
3.04405,-0.09713
2.14762,0.34929
0.00000,-0.32445
9.09741,0.00083
8.89376,0.00083
9.77061,0.00083
8.85526,0.00149
7.46568,-0.00253
5.21352,-0.00133
6.62048,-0.00498
4.68916,0.01009
5.27992,0.00992
6.02514,-0.00567
5.18882,0.01851
3.06643,0.03861
-1.00000,0.15397
5.68583,0.00475
4.28073,-0.01326
3.18679,-0.18057
2.10047,0.44883
3.11554,-0.19805
4.27527,0.03175
0.00000,-0.36994
3.69851,0.02904
3.38733,0.01359
5.04339,0.00998
5.92158,0.00185
6.03855,0.00182
6.29342,0.00182
6.03747,0.00182
3.37991,0.05472
5.91711,-0.00299
5.91909,-0.00299
6.90394,-0.00299
-1.00000,0.17081
4.93781,0.03590
4.37104,-0.04688
3.03782,-0.09694
2.14783,0.33023
3.13847,-0.17062
4.44074,-0.01361
3.42524,0.06583
3.37309,-0.00064
