distance,dq
6.77141,0.00106
5.91100,0.00049
4.54888,0.01350
4.02738,-0.00912
2.73616,-0.10761
1.76146,0.24711
2.73252,-0.10761
4.03563,-0.00912
0.00000,-0.20487
12.17905,0.00011
10.44184,0.00011
11.65187,0.00011
11.27455,-0.00109
12.93984,0.00011
13.54197,0.00011
13.03606,0.00011
10.73704,-0.00050
8.87732,-0.00079
6.77850,0.00032
6.70279,0.00032
4.89512,0.00776
2.87364,0.03653
2.86947,0.03653
4.87530,0.00776
-1.00000,0.08841
7.23604,0.00250
7.05598,-0.00552
6.03001,0.01793
6.86977,-0.00952
6.72900,0.00326
8.12963,-0.00024
8.26504,0.00190
4.56770,-0.01533
4.02571,0.01341
2.73130,-0.13838
1.75859,0.28731
2.73094,-0.13838
4.02388,0.01341
0.00000,-0.21754
8.18837,-0.00036
6.49142,-0.00036
7.46593,-0.00036
9.01554,0.00009
4.87215,0.00483
2.86909,0.04248
2.86880,0.04248
4.86931,0.00483
-1.00000,0.09158
8.19016,-0.00260
6.95057,0.01235
6.36302,-0.00162
5.61196,0.01168
5.28428,-0.01201
5.70564,-0.02022
5.25312,0.03880
4.03371,-0.02336
4.53115,0.01661
4.01933,-0.01058
2.72732,-0.10273
1.76192,0.25873
2.72662,-0.12616
0.00000,-0.21180
8.93412,0.00010
8.03738,0.00010
8.74312,0.00010
7.35938,-0.00348
6.27224,-0.00348
7.06334,-0.00054
5.91781,0.00525
5.35305,-0.00522
6.13547,-0.00522
5.61832,-0.00132
4.87562,0.00758
2.85960,0.03474
2.87248,0.05138
-1.00000,0.09290
5.35311,0.03771
6.35785,-0.04156
5.90928,0.04172
4.58507,-0.04430
4.12634,0.01762
2.76157,-0.14884
2.97852,0.03335
1.78590,0.42257
0.00000,-0.23222
6.86288,-0.00532
8.02791,0.00000
6.63401,0.00000
5.67431,-0.00967
7.42076,0.00788
2.37293,-0.08636
2.37245,-0.08636
-1.00000,0.09376
4.02456,0.01279
2.72855,-0.13614
1.75764,0.28972
2.72847,-0.13614
4.02431,0.01279
4.53685,-0.02250
5.96603,0.03063
6.88461,-0.01349
6.77369,0.00483
8.25036,-0.00381
8.09563,-0.00028
6.82626,-0.01274
6.71468,0.00377
9.27667,0.00679
9.98131,-0.00215
10.63547,-0.00002
0.00000,-0.22630
4.87759,0.00403
2.86677,0.04304
2.86824,0.04304
4.87679,0.00403
7.74070,-0.00097
8.91045,0.00208
8.81521,0.00208
10.04556,-0.00174
9.07868,-0.00174
-1.00000,0.09843
4.02717,-0.01033
2.73076,-0.11131
1.76103,0.25875
2.73076,-0.11131
4.02717,-0.01033
4.53907,0.01385
5.92567,-0.00214
0.00000,-0.21101
4.89117,0.00877
2.86666,0.03722
2.86666,0.03722
4.89117,0.00877
6.33624,0.00001
-1.00000,0.09185
4.00275,-0.01301
2.69686,-0.09851
1.74876,0.24901
2.76595,-0.09669
4.04804,0.00983
4.55031,-0.00082
6.05353,0.01390
6.74832,-0.00601
6.80444,-0.00733
3.34231,-0.01139
3.25467,0.00984
4.75190,0.00984
3.30958,0.02916
0.00000,-0.21566
4.83569,0.00857
2.80380,0.03622
4.91400,0.00256
6.57089,0.00146
7.78699,0.00146
3.13267,-0.00859
4.31849,-0.00859
-1.00000,0.09476
8.63836,0.00647
8.78962,-0.00465
7.81379,0.01061
6.45771,-0.03040
6.26572,0.04187
7.45756,-0.02020
4.91951,-0.01777
4.67717,0.00001
4.31622,-0.05139
5.37312,0.03179
2.97801,0.11589
2.75666,-0.18178
4.04910,0.05618
4.53478,-0.01034
4.02736,0.00312
2.72288,-0.09606
1.77199,0.23666
0.00000,-0.19059
9.58520,-0.00041
9.82722,0.00032
8.20527,-0.00277
7.60673,0.00382
2.41360,-0.00545
4.89815,-0.01494
5.62157,0.00066
4.87441,0.00410
2.82922,0.03349
-1.00000,0.08175
4.01471,0.00543
4.52830,0.00682
4.02544,-0.01305
2.71630,-0.13571
1.76028,0.27116
2.72588,-0.12189
0.00000,-0.20526
5.17301,0.04276
5.64960,-0.01182
5.29337,-0.01003
6.34180,0.00951
7.48137,-0.00450
7.70048,0.00951
6.93613,-0.01003
4.87529,0.00464
5.61533,-0.00147
2.83984,0.04605
2.86657,0.03761
5.98193,-0.01201
4.48665,0.00457
6.44048,-0.00230
8.72024,-0.00230
7.48486,0.00457
-1.00000,0.08778
4.01454,-0.00717
4.52861,0.01685
4.03787,-0.02745
2.71963,-0.10233
1.76474,0.23076
2.72768,-0.09697
0.00000,-0.19257
5.17936,0.03099
5.31536,-0.00937
6.80964,0.00295
7.65310,-0.00065
7.59431,0.00295
6.30110,-0.00937
4.87649,0.00634
5.61236,-0.00350
2.82035,0.04230
2.87181,0.03324
4.80988,0.00092
5.20327,0.00092
7.11026,-0.00121
7.15937,-0.00121
7.90091,-0.00121
8.41666,-0.00121
6.27631,0.00092
6.52881,0.00092
8.61657,0.00011
-1.00000,0.08407
6.45399,0.00361
4.97684,0.03467
4.06008,0.01575
4.59307,0.00552
4.05501,0.00408
2.74764,-0.11781
1.74889,0.29739
2.73664,-0.18925
3.12860,0.08907
4.49539,-0.03524
5.54011,-0.00242
6.62568,0.00354
5.55788,-0.01487
6.84768,0.01161
4.87240,0.01161
0.00000,-0.22511
6.84473,-0.00333
6.84288,-0.00333
